Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Month,Total Compensation,Satisfaction
013882-2023-CMPL,2023-07-24,311,311-15257592,Tow Truck Company,Unsolicited/Unauthorized Services,BA-1562245-2022,XTREME AUTOMOTIVE INC.,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,3511,COLLEGE POINT BLVD,,,,,FLUSHING,NY,11354,Queens,407.0,20.0,4111884.0,4049450001.0,QN22,1006.0,869.0,40.76313756956972,-73.83572912531218,2023-07,0.0,0
013883-2023-CMPL,2023-07-24,311,311-15257596,Home Improvement Contractor,Quality of Work - Q01,BA-1549575-2022,RAYS CONTRACTING LLC,09/21/2023,Goods Repaired - GRS,,0.0,0.0,Complete Address,8565,151ST ST,,,,,JAMAICA,NY,11432,Queens,408.0,24.0,4208374.0,4097340053.0,QN35,2004.0,230.0,40.71022994686734,-73.80759135103459,2023-07,0.0,0
013884-2023-CMPL,2023-07-24,311,311-15257388,Restaurant,Price Gouging,BA-1603596-2023,Focaccia farmer,08/26/2023,Complaint Review Complete,,0.0,0.0,Complete Address,452,SENECA AVE,,,,,RIDGEWOOD,NY,11385,Queens,405.0,34.0,4081941.0,4034320029.0,QN20,1002.0,545.0,40.70621912277269,-73.91347313042908,2023-07,0.0,0
013885-2023-CMPL,2023-07-24,311,311-15257762,Restaurant,Overcharge,BA-1603597-2023,787 Coffee,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,595,METROPOLITAN AVE,,,,,BROOKLYN,NY,11211,Brooklyn,301.0,34.0,3068693.0,3027570036.0,BK90,2001.0,501.0,40.7141095727828,-73.94897954184253,2023-07,0.0,0
013886-2023-CMPL,2023-07-24,311,311-15257813,Supermarket,Condemned/Expired Scale,BA-1603598-2023,ideal supermarket,07/24/2023,No Jurisdiction,,0.0,0.0,Complete Address,840,E NEW YORK AVE,,,,,BROOKLYN,NY,11203,Brooklyn,309.0,41.0,3107131.0,3048060089.0,BK60,1001.0,876.0,40.66252289541401,-73.93518520937378,2023-07,0.0,0
013888-2023-CMPL,2023-07-24,311,311-15257863,Garage & Parking Lot,Non-Delivery of Goods - N01,BA-1603599-2023,310 east 46th street Parking corp,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,314,E 46TH ST,,,,,NEW YORK,NY,10017,Manhattan,106.0,4.0,1038778.0,1013380040.0,MN19,2000.0,90.0,40.75212352223838,-73.96976872121381,2023-07,0.0,0
013892-2023-CMPL,2023-07-24,311,311-15255704,Stoop Line Stand,Sidewalk Blocked,BA-1086412-2022,Amalgamated Bank,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,52,BROADWAY,,,,,NEW YORK,NY,10004,Manhattan,101.0,1.0,1000814.0,1000220028.0,MN25,1002.0,9.0,40.70649247982503,-74.01272480196262,2023-07,0.0,0
013893-2023-CMPL,2023-07-24,311,311-15258118,Misc Non-Food Retail,Overcharge,BA-1603603-2023,add african market,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,195,BROAD ST,,,,,STATEN ISLAND,NY,10304,Staten Island,501.0,49.0,5014049.0,5005410013.0,SI37,3012.0,21.0,40.62408821763993,-74.08122580360642,2023-07,0.0,0
013896-2023-CMPL,2023-07-24,311,311-15258243,Wearing Apparel,Door Open with Air Conditioning On,BA-1603606-2023,THE KOOPLES,07/28/2023,Information Provided,,0.0,0.0,Complete Address,115,MERCER ST,,,,,NEW YORK,NY,10012,Manhattan,102.0,1.0,1007618.0,1004997506.0,MN24,1005.0,49.0,40.72391966713539,-73.99920268803749,2023-07,0.0,0
013898-2023-CMPL,2023-07-24,311,311-15258289,Misc Non-Food Retail,Billing Dispute - B02,BA-1603608-2023,West harlem group,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,1652,AMSTERDAM AVE,,,,,NEW YORK,NY,10031,Manhattan,109.0,7.0,1061799.0,1020730035.0,MN04,4000.0,225.0,40.82316365904466,-73.94913078132775,2023-07,0.0,0
013899-2023-CMPL,2023-07-24,311,311-15259021,Secondhand Dealer - Auto,Billing Dispute - B02,BA-1603609-2023,Honda car dealership,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,1232,HYLAN BLVD,,,,,STATEN ISLAND,NY,10305,Staten Island,502.0,50.0,5047236.0,5032200006.0,SI14,3004.0,64.0,40.59784615487884,-74.08375774677921,2023-07,0.0,0
013900-2023-CMPL,2023-07-24,311,311-15259141,Gas Station-Retail,Inaccurate Device,BA-1603610-2023,amco,08/23/2023,Requested Information Not Provided,,0.0,0.0,Cross Street (Intersection),,ATLANTIC AVENUE,RALPH AVENUE,,,,Unknown,NY,11233,Brooklyn,303.0,41.0,,,,,299.0,40.67693839833776,-73.92182472639499,2023-07,0.0,0
021166-2023-CMPL,2023-10-20,Online,,Unknown,Unknown,BA-1675825-2023,Rockville Centre GMC,10/23/2023,Referred,NYS Department of Motor Vehicles,0.0,0.0,Complete Address,510,SUNRISE HWY,,,,,ROCKVILLE CENTRE,NY,11570,Unknown,,,,,,,,,,2023-10,0.0,0
013901-2023-CMPL,2023-07-24,311,311-15259356,Tobacco Retail Dealer,Prohibited Item Sale to Minor,BA-1603611-2023,The Gas Station,07/26/2023,Insufficient Info Received,,0.0,0.0,Complete Address,11907,ROCKAWAY BLVD,,,,,SOUTH OZONE PARK,NY,11420,Queens,410.0,28.0,4251983.0,4116630022.0,QN55,2005.0,166.0,40.67609789651868,-73.81895597271702,2023-07,0.0,0
013902-2023-CMPL,2023-07-24,311,311-15259265,Misc Non-Food Retail,Non-Delivery of Goods - N01,BA-1603612-2023,YNOT Transport NYC,09/10/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,118,BEACH WAY,,,,,ARVERNE,NY,11692,Queens,414.0,31.0,4595477.0,4159050290.0,QN12,2021.0,964.0,40.58863621748181,-73.79360471373874,2023-07,0.0,0
013903-2023-CMPL,2023-07-24,311,311-15259411,Hotel/Motel,Billing Dispute - B02,BA-1603613-2023,Park Terrace Hotel,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,18,W 40TH ST,,,,,NEW YORK,NY,10018,Manhattan,105.0,4.0,1090404.0,1008417501.0,MN17,2000.0,84.0,40.752535149449365,-73.982646503745,2023-07,0.0,0
013904-2023-CMPL,2023-07-24,311,311-15259547,Gas Station-Retail,Inaccurate Device,BA-1603614-2023,BP gas station,07/24/2023,Insufficient Info Received,,0.0,0.0,Cross Street (Intersection),,ATLANTIC AVENUE,ROCKAWAY BOULEVARD,,,,Unknown,NY,11421,Queens,409.0,32.0,,,,,6.0,40.684752728256505,-73.8607650341662,2023-07,0.0,0
013907-2023-CMPL,2023-07-24,311,311-15259650,Wearing Apparel,Door Open with Air Conditioning On,BA-1603617-2023,Ray Ban,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,116,WOOSTER ST,,,,,NEW YORK,NY,10012,Manhattan,102.0,1.0,1007657.0,1005007501.0,MN24,1006.0,49.0,40.72489405772639,-74.00049787628767,2023-07,0.0,0
013909-2023-CMPL,2023-07-24,311,311-15259692,Auto Rental,Overcharge,BA-1603619-2023,Hertz,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,332,E 76TH ST,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1045154.0,1014500043.0,MN31,7000.0,134.0,40.77105221269999,-73.95570523025565,2023-07,0.0,0
013913-2023-CMPL,2023-07-24,311,311-15260014,Specialized Vending License - MFV,Price Not Posted,BA-1603624-2023,Halal Food Vendor,07/24/2023,Information Provided,,0.0,0.0,Complete Address,646,W 46TH ST,,,,,NEW YORK,NY,10036,Unknown,104.0,3.0,,,MN15,2002.0,129.0,40.763759686899256,-73.9973828192591,2023-07,0.0,0
013914-2023-CMPL,2023-07-24,311,311-15260092,Restaurant,Overcharge,BA-1604026-2023,"Aksaray, Inc.",08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,1618,E 16TH ST,,,,,BROOKLYN,NY,11229,Brooklyn,315.0,48.0,3182428.0,3067780010.0,BK44,3000.0,552.0,40.610039279572135,-73.95758764990185,2023-07,0.0,0
013915-2023-CMPL,2023-07-24,311,311-15260180,Electronics Store,Billing Dispute - B02,BA-1603626-2023,tmobile,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,233,SAINT ANNS AVE,,,,,BRONX,NY,10454,Bronx,201.0,8.0,,,BX39,1000.0,39.0,40.807596136125404,-73.91696446171197,2023-07,0.0,0
013916-2023-CMPL,2023-07-24,311,311-15260210,Garage & Parking Lot,Lost/Stolen/Damaged Property,BA-1603627-2023,SURF AVENUE GARAGE LLC,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,3514,SURF AVE,,,,,BROOKLYN,NY,11224,Brooklyn,313.0,47.0,3426734.0,3070657501.0,BK21,1003.0,340.0,40.57296760545004,-74.00059033328448,2023-07,0.0,0
013918-2023-CMPL,2023-07-24,311,311-15260331,Dry Cleaners,Lost/Stolen/Damaged Property,BA-1603950-2023,Kent Dry Cleaners,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,20,N 5TH ST,,,,,BROOKLYN,NY,11249,Brooklyn,301.0,33.0,3391206.0,3023407502.0,BK73,1003.0,555.0,40.71937669006014,-73.96316020360678,2023-07,0.0,0
013920-2023-CMPL,2023-07-24,311,311-15260185,Tow Truck Company,Overcharge,BA-1363674-2022,IDS AUTO REPAIR INC,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,2502,HARWAY AVE,,,,,BROOKLYN,NY,11214,Brooklyn,311.0,47.0,3000000.0,3069070012.0,BK29,3003.0,304.0,40.59266131009626,-73.99241702098571,2023-07,0.0,0
013921-2023-CMPL,2023-07-24,311,311-15260604,Supermarket,Overcharge,BA-1521784-2022,ShopRite,08/24/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,590,GATEWAY DR,,,,,BROOKLYN,NY,11239,Brooklyn,305.0,42.0,3397157.0,3044520545.0,BK82,1002.0,1070.0,40.65246471086823,-73.8765705912549,2023-07,0.0,0
013922-2023-CMPL,2023-07-24,311,311-15260885,Sightseeing Guide,Unlicensed,BA-1584914-2023,East Village Tours,07/25/2023,Information Provided,,0.0,0.0,Complete Address,15,E 7TH ST,,,,,NEW YORK,NY,10003,Manhattan,103.0,2.0,1006695.0,1004630050.0,MN22,1002.0,38.0,40.72859077057277,-73.98953680193455,2023-07,0.0,0
013924-2023-CMPL,2023-07-24,311,311-15261207,Electronics Store,Billing Dispute - B02,BA-1635677-2023,"T-Mobile Usa, Inc.",08/24/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,2901,3RD AVE,,,,,BRONX,NY,10455,Bronx,201.0,17.0,,,BX34,4000.0,65.0,40.81701001188524,-73.91624099525707,2023-07,0.0,0
013925-2023-CMPL,2023-07-24,311,311-15261408,Supermarket,Non-Delivery of Goods - N01,BA-1635518-2023,Cobble Hill Mini Mart,07/25/2023,Insufficient Info Received,,0.0,0.0,Complete Address,159,BALTIC ST,,,,,BROOKLYN,NY,11201,Brooklyn,306.0,39.0,3003314.0,3003050032.0,BK33,2000.0,49.0,40.68744448199208,-73.99810696920652,2023-07,0.0,0
013927-2023-CMPL,2023-07-24,311,311-15262570,Garage & Parking Lot,License or Complaint Sign Not Displayed,BA-1603635-2023,I park china town,08/24/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,106,MOTT ST,,,,,NEW YORK,NY,10013,Manhattan,102.0,1.0,1087278.0,1002047501.0,MN24,3002.0,41.0,40.71748043483465,-73.99733774036191,2023-07,0.0,0
013928-2023-CMPL,2023-07-24,311,311-15263077,Restaurant,Tip Required,BA-1603636-2023,del chichron,07/25/2023,No Jurisdiction,,0.0,0.0,Complete Address,48,BROADWAY,,,,,NEW YORK,NY,10004,Manhattan,101.0,1.0,1000813.0,1000220024.0,MN25,1002.0,9.0,40.70640463937979,-74.01279692116599,2023-07,0.0,0
013929-2023-CMPL,2023-07-24,311,311-15263620,Tow Truck Company,Unlicensed,BA-1603637-2023,CASH FOR CARS,07/25/2023,Insufficient Info Received,,0.0,0.0,Complete Address,19005,CROCHERON AVE,,,,,FLUSHING,NY,11358,Queens,411.0,19.0,4450018.0,4053050009.0,QN48,2003.0,1139.0,40.76335765670905,-73.79188645784892,2023-07,0.0,0
013930-2023-CMPL,2023-07-24,311,311-15263541,Hotel/Motel,Required Signage Not Posted,BA-1635109-2023,"Holiday Inn Express New York City-Wall Street, an IHG Hotel",08/24/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,,51 NASSAU STREET,,,,1602,NEW YORK,NY,10038,Manhattan,,,,,,,,,,2023-07,0.0,0
013931-2023-CMPL,2023-07-24,311,311-15264582,Supermarket,Receipt Incomplete/Inaccurate/Not Given,BA-1199450-2022,Garden of eden,07/25/2023,Information Provided,,0.0,0.0,Complete Address,2780,BROADWAY,,,,,NEW YORK,NY,10025,Manhattan,107.0,7.0,1056647.0,1018790001.0,MN09,4000.0,195.0,40.802274811403045,-73.96777379590385,2023-07,0.0,0
013932-2023-CMPL,2023-07-24,311,311-15266331,Garage & Parking Lot,Lost/Stolen/Damaged Property,BA-1336872-2022,LTG PARKING CORP.,08/24/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,165,W END AVE,,,,,NEW YORK,NY,10023,Manhattan,107.0,6.0,1070746.0,1011797501.0,MN14,4000.0,155.0,40.77701876472311,-73.98652154333283,2023-07,0.0,0
014667-2023-CMPL,2023-07-31,Online,,Misc Non-Food Retail,Unknown,,,08/10/2023,Insufficient Info Received,,0.0,0.0,Complete Address,226,W 37TH ST,,,,,NEW YORK,NY,10018,Manhattan,105.0,3.0,1014449.0,1007860064.0,MN17,1003.0,109.0,40.75329084509769,-73.9902006496233,2023-07,0.0,0
013933-2023-CMPL,2023-07-24,311,311-15267546,Auto Rental,Non-Delivery of Goods - N01,BA-1603619-2023,Hertz,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,332,E 76TH ST,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1045154.0,1014500043.0,MN31,7000.0,134.0,40.77105221269999,-73.95570523025565,2023-07,0.0,0
013934-2023-CMPL,2023-07-24,311,311-15267881,Supermarket,Non-Delivery of Goods - N01,BA-1566803-2022,TRADE FAIR,07/24/2023,Referred,NYS Department of Agriculture and Markets,0.0,0.0,Complete Address,8902,37TH AVE,,,,,JACKSON HEIGHTS,NY,11372,Queens,403.0,21.0,4036316.0,4014770001.0,QN28,4001.0,277.0,40.75044036217014,-73.8776486664507,2023-07,0.0,0
013935-2023-CMPL,2023-07-24,311,311-15267958,Specialized Vending License - MFV,Overcharge,BA-1603640-2023,New York Soft Ice Cream,09/07/2023,Complaint Review Complete,,0.0,0.0,Complete Address,38,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3344163.0,3000270040.0,BK38,1010.0,21.0,40.703300550987215,-73.98958765752316,2023-07,0.0,0
013937-2023-CMPL,2023-07-24,311,311-15268403,Restaurant,Receipt Incomplete/Inaccurate/Not Given,BA-1577607-2023,Legacy Hookah lounge,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,2572,STEINWAY ST,,,,,ASTORIA,NY,11103,Queens,401.0,22.0,4010293.0,4006540093.0,QN70,2000.0,143.0,40.76753584404756,-73.91204328591014,2023-07,0.0,0
013938-2023-CMPL,2023-07-24,311,311-15268337,Specialized Vending License - MFV,Price Not Posted,BA-1603641-2023,Nathan’s Famous/ halal food queens,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,1000,5TH AVE,,,,,NEW YORK,NY,10028,Manhattan,164.0,6.0,1083810.0,1011110001.0,MN99,1021.0,143.0,40.7786328607754,-73.96254609596876,2023-07,0.0,0
013939-2023-CMPL,2023-07-24,311,311-15269043,Misc Non-Food Retail,Price Not Posted,BA-1603642-2023,Gracefully,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,320,1ST AVE,,,,,NEW YORK,NY,10009,Manhattan,106.0,4.0,1082864.0,1009720001.0,MN50,1000.0,44.0,40.73408732379184,-73.98041055571437,2023-07,0.0,0
013941-2023-CMPL,2023-07-24,311,311-15269348,Restaurant,Overcharge,BA-1603644-2023,wheat field,08/26/2023,Complaint Review Complete,,0.0,0.0,Complete Address,1615,AVENUE U,,,,,BROOKLYN,NY,11229,Brooklyn,315.0,48.0,3198175.0,3073210042.0,BK44,1001.0,580.0,40.5989713696648,-73.95523962922925,2023-07,0.0,0
013943-2023-CMPL,2023-07-24,311,311-15269584,Auto Rental,Non-Delivery of Goods - N01,BA-1329615-2022,Hertz Rental Car,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,585,DEAN ST,,,,,BROOKLYN,NY,11238,Brooklyn,308.0,35.0,3418188.0,3011297502.0,BK64,1001.0,163.0,40.68070226606114,-73.97036354248364,2023-07,0.0,0
013944-2023-CMPL,2023-07-24,311,311-15269783,Secondhand Dealer - Auto,Repair History Not Disclosed,BA-1120813-2022,26 MOTORS CORP,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,3981,BOSTON RD,,,,,BRONX,NY,10466,Bronx,212.0,12.0,2066279.0,2049430001.0,BX03,2016.0,484.0,40.88439012062024,-73.83313668528355,2023-07,0.0,0
013945-2023-CMPL,2023-07-24,311,311-15269846,Misc Non-Food Retail,Exchange/Refund/Return,BA-1603646-2023,Dollar deals,07/26/2023,Referred,Rude Behavior Apology,0.0,0.0,Complete Address,1945,UNIVERSITY AVE,,,,,BRONX,NY,10453,Bronx,205.0,14.0,2014701.0,2032160074.0,BX36,2000.0,24502.0,40.85400017172779,-73.91211329993212,2023-07,0.0,0
013947-2023-CMPL,2023-07-24,311,311-15270073,Restaurant,Non-Delivery of Goods - N01,BA-1086098-2022,dunkin donuts,07/24/2023,Referred,NYC Department of Health & Mental Hygiene,0.0,0.0,Complete Address,1780,E GUN HILL RD,,,,,BRONX,NY,10469,Bronx,211.0,13.0,2095044.0,2044940001.0,BX31,2002.0,310.0,40.864160619432994,-73.83429012942227,2023-07,0.0,0
013948-2023-CMPL,2023-07-24,311,311-15270112,Supermarket,Non-Delivery of Goods - N01,BA-1603709-2023,Wakefern Food Corp.,07/24/2023,Referred,Other,0.0,0.0,Complete Address,2556,HYLAN BLVD,,,,,STATEN ISLAND,NY,10306,Staten Island,502.0,50.0,5114761.0,5039600200.0,SI45,1000.0,12804.0,40.56925792663402,-74.11096932499557,2023-07,0.0,0
013951-2023-CMPL,2023-07-24,311,311-15270691,Drug Store Retail,Damaged Goods - D01,BA-1603649-2023,hong yee pharmacy inc,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,227,GRAND ST,,,,,NEW YORK,NY,10013,Manhattan,102.0,1.0,1090573.0,1002390015.0,MN24,2001.0,41.0,40.71864689522,-73.99536441259,2023-07,0.0,0
013952-2023-CMPL,2023-07-24,311,311-15270728,Misc Non-Food Retail,Advertising/Misleading - A02,BA-1603650-2023,Park Slope True Clean,07/24/2023,No Jurisdiction,,0.0,0.0,Complete Address,416,4TH AVE,,,,,BROOKLYN,NY,11215,Brooklyn,306.0,39.0,3021808.0,3009970040.0,BK37,1001.0,121.0,40.67146926937588,-73.9877973820467,2023-07,0.0,0
013953-2023-CMPL,2023-07-24,311,311-15270597,Hotel/Motel,Billing Dispute - B02,BA-1603651-2023,LIC Plaza Hotel,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,4036,27TH ST,,,,,LONG ISLAND CITY,NY,11101,Queens,401.0,26.0,4542913.0,4004060040.0,QN68,2004.0,33.0,40.7525717319247,-73.93764936859661,2023-07,0.0,0
013954-2023-CMPL,2023-07-24,311,311-15270781,Specialized Vending License - MFV,Price Not Posted,BA-1603652-2023,SQ Fathy Halo Food,08/26/2023,Complaint Review Complete,,0.0,0.0,Cross Street (Intersection),,5 AVENUE,EAST 79 STREET,,,,Unknown,NY,10075,Manhattan,108.0,4.0,,,,,142.0,40.77700560993728,-73.96372768490096,2023-07,0.0,0
013955-2023-CMPL,2023-07-24,311,311-15271072,Restaurant,Price Gouging,BA-1603653-2023,Kam Fung,07/24/2023,Insufficient Info Received,,0.0,0.0,Complete Address,261,BEACH 116TH ST,,,,,FAR ROCKAWAY,NY,11694,Queens,414.0,32.0,4442338.0,4162120012.0,QN10,3007.0,93402.0,40.58064545781745,-73.83769359143547,2023-07,0.0,0
013957-2023-CMPL,2023-07-24,311,311-15270080,Furniture Sales,Advertising/Misleading - A02,BA-1603655-2023,Ashley,09/10/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,,241 37 STREET,,,,1-2-A,BROOKLYN,NY,11232,Brooklyn,,,,,,,,,,2023-07,0.0,0
013958-2023-CMPL,2023-07-24,311,311-15271350,Temporary Street Fair Vendor Permit,Unlicensed,BA-1603656-2023,"No name, street vendor",07/24/2023,Referred,NYC Department of Sanitation,0.0,0.0,Complete Address,8202,ROOSEVELT AVE,,,,,JACKSON HEIGHTS,NY,11372,Queens,404.0,25.0,4036893.0,4014930001.0,QN29,1001.0,26901.0,40.74763883401223,-73.88378195184886,2023-07,0.0,0
013959-2023-CMPL,2023-07-24,311,311-15271770,Electronics Store,Exchange/Refund/Return,BA-1603657-2023,HUESOCELL INC,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,9609,ROOSEVELT AVE,,,,,CORONA,NY,11368,Queens,403.0,21.0,4043833.0,4017580014.0,QN26,2001.0,375.0,40.74918773688795,-73.8692272841951,2023-07,0.0,0
013960-2023-CMPL,2023-07-24,311,311-15271805,Laundries,Broken Machines,BA-964450-2022,BROADWAY LAUNDROMAT,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,3632,KINGSBRIDGE AVE,,,,,BRONX,NY,10463,Bronx,208.0,11.0,2083833.0,2057650718.0,BX29,4006.0,285.0,40.884537561296966,-73.90177685549281,2023-07,0.0,0
013961-2023-CMPL,2023-07-24,311,311-15271918,Tenant Screening,Overcharge,BA-1603658-2023,ERN Flats,07/24/2023,No Jurisdiction,,0.0,0.0,Complete Address,2392,NOSTRAND AVE,,,,,BROOKLYN,NY,11210,Brooklyn,314.0,45.0,3207870.0,3076110052.0,BK43,2000.0,750.0,40.62616318180208,-73.94677001556408,2023-07,0.0,0
12400-2023-CMPL,2023-07-02,311,311-15022291,Electronic Cigarette Dealer,Unknown,,116 WHITE WOLF,07/03/2023,Insufficient Info Received,-,0.0,0.0,,,,,,,,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,2023-07,0.0,0
013962-2023-CMPL,2023-07-24,311,311-15272351,Restaurant,Overcharge,BA-1603659-2023,North Shore Diner,07/24/2023,No Jurisdiction,,0.0,0.0,Cross Street (Intersection),,FRANCIS LEWIS BOULEVARD,NORTHERN BOULEVARD,,,,Unknown,NY,11361,Queens,411.0,19.0,,,,,1181.0,40.75775366485006,-73.78338172591826,2023-07,0.0,0
013963-2023-CMPL,2023-07-24,311,311-15272578,Restaurant,Price Gouging,BA-1603671-2023,129 Management Restaurant Corp.,07/24/2023,No Jurisdiction,,0.0,0.0,Complete Address,129,MULBERRY ST,,,,,NEW YORK,NY,10013,Manhattan,102.0,1.0,1003083.0,1002360031.0,MN24,5003.0,41.0,40.7183313208351,-73.99783553363737,2023-07,0.0,0
